,Brand,Model,Battery Size (kWh),Segment,Powertrian,BodyStyle,Seats,0 - 62 MPH (Sec),Top Speed (MPH),Range (Mi),Efficiency (Wh/mi),Euro,0 - 62 MPH (Sec) Estimation,Top Speed (MPH) Estimation,Range (Mi) Estimation,Efficiency (Wh/mi) Estimation,0_62_mph_raw,top_speed_raw,range_raw,efficiency_raw
97,Nissan,Leaf e+,56.0,C,FWD,Hatchback,5,7.3,98,295,280,38350.0,0,0,0,0,7.3,98.0,295.0,280.0
98,Opel,Ampera-e,58.0,B,FWD,MPV,5,7.3,93,280,275,42990.0,0,0,0,0,7.3,93.0,280.0,275.0
99,Opel,Corsa-e,45.0,B,FWD,Hatchback,5,8.1,93,265*,260*,29000.0,0,0,1,1,8.1,93.0,265.0,260.0
100,Opel,Mokka-e,45.0,B,FWD,SUV,5,8.5*,93,600*,290*,34110.0,1,0,1,1,8.5,93.0,600.0,290.0
101,Opel,Zafira-e Life L 50 kWh,45.0,M,FWD,Mini Van,9,12.1,81,155*,405*,54625.0,0,0,1,1,12.1,81.0,155.0,405.0
102,Opel,Zafira-e Life L 75 kWh,65.0,M,FWD,Mini Van,9,13.3,81,155*,415*,60625.0,0,0,1,1,13.3,81.0,155.0,415.0
103,Opel,Zafira-e Life M 50 kWh,45.0,M,FWD,Mini Van,9,12.1,81,210*,405*,53800.0,0,0,1,1,12.1,81.0,210.0,405.0
104,Opel,Zafira-e Life M 75 kWh,65.0,M,FWD,Mini Van,9,13.3,81,195*,415*,59800.0,0,0,1,1,13.3,81.0,195.0,415.0
105,Opel,Zafira-e Life S 50 kWh,45.0,M,FWD,Mini Van,9,12.1,81,110,405*,56700.0,0,0,0,1,12.1,81.0,110.0,405.0
106,Peugeot,e-2008 SUV,45.0,B,FWD,SUV,5,8.5,93,155,290,35450.0,0,0,0,0,8.5,93.0,155.0,290.0
107,Peugeot,e-208,45.0,B,FWD,Hatchback,5,8.1,93,170,260*,30450.0,0,0,0,1,8.1,93.0,170.0,260.0
108,Peugeot,e-Rifter Long 50 kWh,45.0,M,FWD,Mini Van,7,11.7,84,120,375*,42590.0,0,0,0,1,11.7,84.0,120.0,375.0
